costCpu	costMem	runTime	joinRows	leftTableColumnCnt	leftColumnIsSlope	leftTablePhysical	leftTableRowCnt	rightTableColumnCnt	rightTablePhysical	rightTableRowCnt	rightColumnIsSlope	joinType
46	6694	28	355	4671	40	608677	69998	475	1243420	97621	3500	RIGHT JOIN
63	5874	56	473	4817	31	608536	70043	587	1244399	97527	3600	FULL OUT JOIN
33	6500	53	578	6689	5	601294	70067	430	1243243	98931	3700	INNER JOIN
53	5471	57	216	5722	88	606866	69970	491	1243517	98882	3800	LEFT JOIN
108	5548	43	555	5375	46	601383	69940	563	1243341	97807	3900	RIGHT JOIN
32	5947	42	525	7608	59	605036	69987	449	1243403	98792	3900	FULL OUT JOIN
110	6721	41	77	6981	44	608150	70024	409	1244251	97658	3900	INNER JOIN
127	6547	54	314	5452	64	601071	70020	430	1244054	97548	4000	LEFT JOIN
83	5481	38	700	7007	57	602099	69975	579	1244131	97395	4000	RIGHT JOIN
129	6540	13	39	5175	51	603014	69964	459	1243827	98302	4100	FULL OUT JOIN
153	6921	48	580	6099	100	607681	69901	529	1244117	98025	4200	INNER JOIN
151	6681	12	116	5002	53	608039	69960	572	1242416	98528	4300	LEFT JOIN
78	6038	48	846	4222	43	606955	69944	520	1242444	98964	4300	RIGHT JOIN
124	5992	15	845	6602	23	600207	70060	426	1244185	98801	4300	FULL OUT JOIN
158	6053	57	433	6113	71	606950	70093	429	1242826	98575	4400	FULL OUT JOIN
51	5585	42	740	4099	4	601037	69935	518	1243992	98303	4500	FULL OUT JOIN
79	5924	46	985	5459	27	607538	70079	530	1243622	98861	4600	INNER JOIN
49	5542	34	637	7182	12	606340	69967	428	1243612	97378	4600	LEFT JOIN
51	5284	17	809	5500	86	602955	69949	492	1242769	97407	4700	RIGHT JOIN
159	5550	38	311	7733	60	603045	69909	596	1243928	98364	4800	FULL OUT JOIN
121	6066	8	576	5609	18	607736	70060	586	1243900	98495	4900	INNER JOIN
145	6399	56	945	6260	65	604268	70057	478	1244296	98304	4900	LEFT JOIN
109	6194	1	964	7810	62	604485	70068	475	1243995	99190	4900	RIGHT JOIN
64	6621	35	737	5141	55	601009	69960	571	1243494	98909	4900	FULL OUT JOIN
58	6778	20	419	7499	98	608485	69906	585	1242696	98039	4900	INNER JOIN
